Grape,Winery,Appelation,State,Name,Year,Price,Score,Cases
Chardonnay,The Hess Collection,Mount Vedeer,California,Chardonnay,2007,35,90,1900
Chardonnay,Waterstone,Carneros,California,Chardonnay,2007,18,87,1832
Chardonnay,Kistler,Carneros,California,Hudson Vineyard,2006,75,93,1818
Chardonnay,Kistler,Sonoma Valley,California,Kistler Vineyard,2006,80,90,1815
Chardonnay,Kistler,Russian River Valley,California,Dutton Ranch,2006,75,92,1810
Chardonnay,Lewis,Napa Valley,California,Chardonnay,2009,48,92,1800
Chardonnay,Vine Cliff,Carneros,California,Los Carneros,2007,39,91,1798
Chardonnay,Darioush,Napa Valley,California,Signature,2007,43,90,1761
Chardonnay,Pahlmeyer,Sonoma Coast,California,Chardonnay,2007,70,93,1620
Chardonnay,HdV,Carneros,California,Hyde Vineyards,2006,60,93,1562
Chardonnay,Laird Family,Carneros,California,Gold Creek Ranch,2007,30,90,1500
Chardonnay,Sterling,Napa Valley,California,Reserve,2008,35,91,1450
Chardonnay,Fog Dog,Sonoma Coast,California,Chardonnay,2006,40,91,1300
Chardonnay,Barnett,Carneros,California,Sengiacomo Vineyard,2005,29,93,1138
Chardonnay,Peter Michael,Sonoma County,California,Mon Plaisir,2007,80,94,1050
Chardonnay,Cakebread,Napa Valley,California,Carneros Reserve,2006,55,91,1000
Chardonnay,Anaba,Sonoma Coast,California,Chardonnay,2007,32,91,938
Chardonnay,Maldonado,Sonoma County,California,Parr Vineyard,2006,24,90,900
Chardonnay,El Molino,Rutherford,California,Chardonnay,2007,45,92,878
Chardonnay,Saddleback,Napa Valley,California,Chardonnay,2007,26,88,831
Chardonnay,White Rock,Napa Valley,California,Chardonnay,2007,30,88,800
Chardonnay,Freestone,Sonoma Coast,California,Chardonnay,2008,55,93,800
Chardonnay,DuMOL,Russian River Valley,California,Chloe,2005,60,92,708
Chardonnay,Calera,Mount Harlan,California,Chardonnay,2007,25,91,663
Chardonnay,Celani Family,Napa Valley,California,Chardonnay,2007,40,91,600
Chardonnay,Maldonado,Napa Valley,California,Los Olivos Vineyard,2006,49,92,566
Chardonnay,DuMOL,Sonoma County,California,Green River Isobel,2005,60,95,558
Chardonnay,Vine Cliff,Carneros,California,Proprietary Reserve,2007,60,91,545
Chardonnay,Keller,Sonoma Coast,California,La Cruz Vineyard,2008,36,91,507
Chardonnay,HdV,Carneros,California,De La Guerra,2007,40,90,506
Chardonnay,Acacia,Carneros,California,Sangiacomo Vineyard,2007,40,92,484
Chardonnay,Ferrari-Carano,Russian River Valley,California,Emelias Cuvee,2007,36,91,465
Chardonnay,D.R. Stephens,Napa Valley,California,Chardonnay,2007,50,92,455
Chardonnay,Talley,Edna Valley,California,Chardonnay,2007,26,91,445
Chardonnay,Freeman,Russian River Valley,California,Ryo-fu,2006,44,92,418
Chardonnay,Ridge,Santa Cruz Mountains,California,Santa Cruz Mountains Estate,2007,40,93,400
Chardonnay,Chasseur,Russian River Valley,California,Lorenzo,2005,55,93,371
Chardonnay,Marimar Estate,Russian River Valley,California,Don Miguel Vineyard Lia Torres Family Vineyards,2006,49,91,355
Chardonnay,LAngevin,Russian River Valley,California,Laughlin Family Vineyard,2007,44,91,350
Chardonnay,Hudson Vineyards,Napa Valley,California,Carneros,2006,60,92,350
Chardonnay,Au Bon Climat,Santa Barbara County,California,Los Alamos Vineyard Historic Vineyards Collection,2007,25,93,325
Chardonnay,Nicholson Ranch,Sonoma Valley,California,Cuvee Natalie,2006,48,90,325
Chardonnay,Souverain,Russian River Valley,California,Winmakers Reserve,2007,30,93,313
Chardonnay,Peirson Meyer,Sonoma Coast,California,Cahrles Heintz Vineyard,2007,55,93,300
Chardonnay,Olabisi,Carneros,California,Ceja Vineyard,2007,40,91,285
Chardonnay,Ferrari-Carano,Russian River Valley,California,Valley Dominique,2007,38,90,276
Chardonnay,Vineyard 7&8,Spring Mountain District,California,Chardonnay,2007,60,92,275
Chardonnay,Armida,Russian River Valley,California,Keefer Ranch,2007,28,91,232
Chardonnay,Three Sticks,Sonoma Valley,California,Durell Vineyard,2006,45,95,220
Chardonnay,Luna,Napa Valley,California,Chardonnay,2006,40,92,204
Chardonnay,Neyers,Sonoma Coast,California,B. Theriot Vineyard,2007,48,91,202
Chardonnay,Jocelyn Lonen,Carneros,California,Founders,2007,45,90,200
Chardonnay,Failla,Sonoma Coast,California,Estate Vineyard,2007,42,94,125
Chardonnay,Peirson Meyer,Sonoma County,California,Untilited #3,2007,75,94,125
Chardonnay,Kazme & Blaise,Carneros,California,Boonflys Hill,2006,50,95,90
Chardonnay,Tor,Sonoma Valley,California,Durell Vineyard Wente Clone,2007,60,95,80
Chardonnay,Maybach,Sonoma Coast,California,Eterium B. Thieriot Vineyard,2009,78,95,60
Grenache,Sine Qua Non,California,California,Pictures,2007,135,91,764
Grenache,Austine Hope,Paso Robles,California,Hope Family Vineyard,2009,42,87,566
Grenache,Beckmen,Santa Ynez Valley,California,Purisma Mountain Vineyard,2008,48,88,500
Grenache,Quivara,Dry Creek Valley,California,Rose Wine Creek Ranch,2009,15,90,448
Grenache,Herman Story,California,California,On the Road,2008,36,93,398
Grenache,Villa Creek,Paso Robles,California,Garnacha Denner Vineyard,2008,35,91,350
Grenache,Bella Victorian,Santa Barbara County,California,Romeo,2006,39,87,300
Grenache,Jemrose,Bennett Valley,California,Foggy Knoll Vineyard,2008,38,87,275
Grenache,Sine Qua Non,Sta. Rita Hills,California,In the Crosshairs Eleven Confessions Vineyard,2006,200,97,202
Grenache,Sine Qua Non,California,California,To the Rescue,2007,100,93,164
Merlot,Mirassou,California,California,Merlot,2007,12,86,43321
Merlot,Rutherford Hill,Napa Valley,California,Merlot,2006,25,89,42546
Merlot,Goldschmidt,Alexander Valley,California,Chelsea Goldschmidt,2008,15,87,3500
Merlot,White Oak,Napa Valley,California,Merlot,2007,26,88,1987
Merlot,Darioush,Napa Valley,California,Signature,2007,48,89,1779
Merlot,Merryvale,Napa Valley,California,Merlot,2006,39,86,1587
Merlot,Keenan,Spring Mountain District,California,Mailbox Vineyard Drive,2006,60,88,330
Merlot,Langtry,Lake County,California,Tephra Ridge Vineyard,2006,40,88,205
Petite Sirah,Parducci,Mendocino County,California,Petite Sirah,2007,11,85,15340
Petite Sirah,Jaffurs,Santa Barbara County,California,Thompson Vineyard,2009,34,90,501
Petite Sirah,Turley,Napa Valley,California,Hayne Vineyard,2008,75,90,350
Petite Sirah,JC Cellars,Russian River Valley,California,Sweetwater Springs Vineyard,2008,35,89,340
Petite Sirah,Erna Schein,Sonoma County,California,Kick Ranch,2008,48,91,312
Petite Sirah,Alta Colina,Paso Robles,California,Anns Block,2008,48,91,123
Pinot Noir,Acacia,California,California,A by Acacia,2008,17,88,58231
Pinot Noir,Castle Rock,Central Coast,California,Pinot Noir,2008,13,87,36000
Pinot Noir,Robert Mondavi,Napa Valley,California,Carneros,2008,28,88,30300
Pinot Noir,Greg Norman California Estates,Santa Barbara County,California,Pinot Noir,2008,15,85,25000
Pinot Noir,Talbott,Santa Lucia Highlands,California,Kali Hart,2008,21,87,8000
Pinot Noir,Fog Dog,Sonoma Coast,California,Pinot Noir,2008,35,89,8000
Pinot Noir,Baileyana,Edna Valley,California,Grand Firepeak Cuvee Firepeak Vineyard,2007,33,87,6334
Pinot Noir,Marting Ray,Santa Barbara County,California,Pinot Noir,2007,25,87,5800
Pinot Noir,Bernardus,Monterey County,California,Pinot Noir,2007,25,87,4715
Pinot Noir,Alma Rosa,Sta. Rita Hills,California,Pinot Noir,2008,32,87,4651
Pinot Noir,Tudor,Santa Lucia Highlands,California,Pinot Noir,2007,40,87,3965
Pinot Noir,Paul Hobbs,Russian River Valley,California,Pinot Noir,2008,45,94,3644
Pinot Noir,Kosta Browne,Russian River Valley,California,Pinot Noir,2008,52,94,3632
Pinot Noir,Kosta Browne,Sonoma Coast,California,Pinot Noir,2008,52,90,3554
Pinot Noir,Artesa,Carneros,California,Estate Reserve,2007,40,88,3527
Pinot Noir,Patz & Hall,Sonoma Coast,California,Pinot Noir,2008,42,93,3103
Pinot Noir,Siduri,Sonoma County,California,Pinot Noir,2009,20,88,2657
Pinot Noir,Fort Ross,Sonoma Coast,California,Symposium Fort Ross Vineyard,2066,32,88,2584
Pinot Noir,Talbott,Santa Lucia Highlands,California,Sleepy Hollow Vineyard,2008,40,86,2500
Pinot Noir,Landmark,Sonoma Coast,California,Grand Detour,2007,40,88,2500
Pinot Noir,Castle Rock,Russian River Valley,California,Pinot Noir,2008,18,86,2400
Pinot Noir,Demetria,Sta. Rita Hills,California,Pinot Noir,2007,40,86,2000
Pinot Noir,Siduri,Santa Lucia Highlands,California,Pinot Noir,2009,29,92,1855
Pinot Noir,Freeman,Russian River Valley,California,Pinot Noir,2006,44,89,1592
Pinot Noir,Twomey,Santa Barbara County,California,Pinot Noir,2008,30,88,1510
Pinot Noir,De Loach,Green Valley of Russian River Valley,California,Pinot Noir,2008,45,92,1467
Pinot Noir,Calera,Mount Harlan,California,Jensen Vineyard,2004,60,91,1262
Pinot Noir,Twomey,Sonoma Coast,California,Pinot Noir,2008,50,87,1255
Pinot Noir,Ampelos,Sta. Rita Hills,California,Lambda,2007,35,92,1094
Pinot Noir,Freeman,Sonoma Coast,California,Pinot Noir,2007,44,92,1068
Pinot Noir,Toulouse,Anderson Valley,California,Pinot Noir,2005,39,91,1050
Pinot Noir,MacRostie,Sonoma Coast,California,Wildcat Mountain Vineyard,2006,45,89,1003
Pinot Noir,Loring,Sta. Rita Hills,California,Clos Pepe Vineyard,2009,45,93,1000
Pinot Noir,V. Sattui,Carneros,California,Henry Ranch,2008,36,87,951
Pinot Noir,Athair,Russian River Valley,California,Pinot Noir,2008,36,90,919
Pinot Noir,Vision Cellars,Sonoma County,California,Pinot Noir,2007,38,90,900
Pinot Noir,DuMOL,Russian River Valley,California,Ryan,2007,76,94,850
Pinot Noir,Rusack,Santa Maria Valley,California,Pinot Noir,2008,36,88,833
Pinot Noir,Kosta Browne,Russian River Valley,California,Koplen Vineyard,2008,72,95,792
Pinot Noir,Baker Lane,Sonoma Coast,California,Ramondo Vineyard,2007,42,88,777
Pinot Noir,Paul Hobbs,Napa Valley,California,Carneros Hyde Vineyard,2008,75,94,741
Pinot Noir,Sequana,Green Valley of Russian River Valley,California,Valley Dutton Ranch,2007,40,88,728
Pinot Noir,Sebastiani,Carneros,California,Pinot Noir,2008,24,87,720
Pinot Noir,Roar,Santa Lucia Highlands,California,Garys Vineyard,2008,50,88,710
Pinot Noir,Kosta Browne,Sonoma Coast,California,Gaps Crown Vineyard,2008,68,92,690
Pinot Noir,Foxen,Santa Maria Valley,California,Julias Vineyard,2008,56,94,670
Pinot Noir,Kosta Browne,Russian River Valley,California,Keefer Ranch,2008,72,95,613
Pinot Noir,Loring,Russian River Valley,California,Pinot Noir,2009,29,93,600
Pinot Noir,Loring,Santa Lucia Highlands,California,Pinot Noir,2009,29,93,600
Pinot Noir,Loring,Sta. Rita Hills,California,Pinot Noir,2009,29,88,600
Pinot Noir,Failla,Russian River Valley,California,Keefer Ranch,2007,45,91,600
Pinot Noir,Testarossa,Santa Lucia Highlands,California,Sleepy Hollow Vineyard,2008,59,87,600
Pinot Noir,Clouds Rest,Sonoma Coast,California,Limited Release,2007,69,90,600
Pinot Noir,Kosta Browne,Russian River Valley,California,Amber Ridge Vineyard,2008,72,95,600
Pinot Noir,Alma Rosa,Sta. Rita Hills,California,La Encantada Vineyard,2008,43,88,591
Pinot Noir,Kosta Browne,Sonoma Coast,California,Kanzler Vineyard,2008,72,94,564
Pinot Noir,Keller,Sonoma Coast,California,La Cruz Vineyard,2007,44,88,510
Pinot Noir,Sequana,Santa Lucia Highlands,California,Sarmento Vineyard,2008,32,88,500
Pinot Noir,Failla,Sonoma Coast,California,Pinot Noir,2007,34,91,500
Pinot Noir,Loring,San Luis Obispo County,California,Aubaine Vineyard,2009,45,90,500
Pinot Noir,Fleming Jenkins,California,California,Victories Rose,2009,20,89,480
Pinot Noir,Loring,Santa Lucia Highlands,California,Garys Vineyard,2009,45,93,450
Pinot Noir,Mueller,Russian River Valley,California,Pinot Noir,2007,25,92,442
Pinot Noir,Adrian Fog,Anderson Valley,California,Savoy Vineyard,2005,75,92,440
Pinot Noir,Kosta Browne,Santa Lucia Highlands,California,Garys Vineyard,2008,72,94,422
Pinot Noir,Calera,Mount Harlan,California,Thirtieth Anniverasry Vintage Mt. Harlan Cuvee,2005,30,90,403
Pinot Noir,Pfendler,Sonoma Coast,California,Pinot Noir,2008,45,88,400
Pinot Noir,Loring,Green Valley of Russian River Valley,California,Keefer Ranch Vineyard,2009,45,92,400
Pinot Noir,DuMOL,Red Hills Lake County,California,Aidan,2007,76,92,380
Pinot Noir,DuMOL,Sonoma Coast,California,Eoin,2007,76,92,375
Pinot Noir,Small Vines,Russian River Valley,California,Pinot Noir,2006,50,91,365
Pinot Noir,Siduri,Santa Lucia Highlands,California,Pisoni Vineyard,2009,54,95,364
Pinot Noir,DuMOL,Russian River Valley,California,Finn,2007,80,93,363
Pinot Noir,Baker Lane,Sonoma Coast,California,Hurst Vineyard,2007,36,91,360
Pinot Noir,Alma Rosa,Sta. Rita Hills,California,La Encantada Vineyard Clone 667,2008,43,88,358
Pinot Noir,Rusack,Sta. Rita Hills,California,Reserve,2008,40,89,340
Pinot Noir,Adrian Fog,Sonoma Coast,California,Numbers,2008,75,93,340
Pinot Noir,A.P.Vin,Santa Lucia Highlands,California,Rosellas Vineyard,2009,48,95,325
Pinot Noir,Davis Bynum,Russian River Valley,California,Bynum & Moshin Vineyards,2004,50,91,314
Pinot Noir,A.P.Vin,Santa Lucia Highlands,California,Garys Vineyard,2009,48,93,300
Pinot Noir,Siduri,Santa Lucia Highlands,California,Garys Vineyard,2009,51,94,298
Pinot Noir,Vision Cellars,Russian River Valley,California,Coster Vineyard,2007,42,93,286
Pinot Noir,Paul Hobbs,Russian River Valley,California,Ulises Valdez Vineyard,2008,70,92,282
Pinot Noir,Roessler,Anderson Valley,California,Valley Savoy,2007,46,94,268
Pinot Noir,Kosta Browne,Santa Lucia Highlands,California,Rosellas Vineyard,2008,72,93,255
Pinot Noir,Loring,Paso Robles,California,Russel Family Vineyard,2009,45,94,250
Pinot Noir,Patz & Hall,Russian River Valley,California,Freestone Hill,2007,70,95,245
Pinot Noir,Siduri,Sta. Rita Hills,California,Clos Pepe Vineyard,2007,54,91,241
Pinot Noir,Loring,Sonoma Coast,California,Durell Vineyard,2009,45,94,200
Pinot Noir,A.P.Vin,Sonoma Coast,California,Kanzler Vineyard,2009,48,94,200
Pinot Noir,A.P.Vin,Russian River Valley,California,Keefer Ranch Vineyard,2009,48,92,200
Pinot Noir,Landmark,Sonoma Coast,California,Kanzler Vineyard,2008,65,93,200
Pinot Noir,Loring,Sta. Rita Hills,California,Cargasacchi Vineyard,2009,45,92,175
Pinot Noir,Kutch,Sonoma Coast,California,Kanzler Vineyard,2007,48,89,175
Pinot Noir,Spell,Sonoma Coast,California,Pinot Noir,2008,30,88,170
Pinot Noir,Lynmar,Russian River Valley,California,Valley Bliss Block,2008,70,93,152
Pinot Noir,Loring,Green Valley of Russian River Valley,California,Graham Family Vineyard,2009,45,93,150
Pinot Noir,A.P.Vin,Sta. Rita Hills,California,Clos Pepe Vineyard,2009,48,91,150
Pinot Noir,A.P.Vin,Sta. Rita Hills,California,Turner Vineyard,2009,48,91,150
Pinot Noir,Lynmar,Russian River Valley,California,Five Sisters,2007,100,94,147
Pinot Noir,Davis Bynum,Russian River Valley,California,Laurels Estate Vineyard,2004,75,91,142
Pinot Noir,Valdez Family,Russian River Valley,California,Lancel Creek Vineyard,2007,55,93,130
Pinot Noir,Loring,Sta. Rita Hills,California,Rancho La Vina Vineyard,2009,45,91,125
Pinot Noir,Kutch,Sonoma Coast,California,McDougal Ranch,2007,48,91,125
Pinot Noir,Davis Bynum,Russian River Valley,California,The Backbone,2004,75,92,117
Pinot Noir,Kosta Browne,Santa Lucia Highlands,California,Pisoni Vineyard,2008,72,93,115
Pinot Noir,Kosta Browne,California,California,4-Barrel,2008,72,92,97
Pinot Noir,A.P.Vin,Santa Maria Valley,California,Rancho Oliveros Vineyard,2009,48,93,50
Sauvignon Blanc,Robert Mondavi,Napa Valley,California,Fume Blanc,2008,20,88,50543
Sauvignon Blanc,Pomelo,California,California,Sauvignon Blanc,2009,10,87,50000
Sauvignon Blanc,Mirassou,California,California,Sauvignon Blanc,2008,12,85,42000
Sauvignon Blanc,Benziger,Sonoma-Lake Counties,California,Sauvignon Blanc,2009,15,86,20000
Sauvignon Blanc,Kunde Estate,Sonoma Valley,California,Magnolia Lane,2009,16,86,15000
Sauvignon Blanc,Angeline,Russian River Valley,California,Sauvignon Blanc,2009,14,85,8500
Sauvignon Blanc,Manifesto!,North Coast,California,Sauvignon Blanc,2008,12,85,8100
Sauvignon Blanc,Cade,Napa Valley,California,Sauvignon Blanc,2008,26,89,5200
Sauvignon Blanc,Pedroncelli,Dry Creek Valley,California,East Side Vineyards,2009,12,86,5100
Sauvignon Blanc,No,Lake County,California,Sauvignon Blanc,2008,12,85,4210
Sauvignon Blanc,Merry Edwards,Russian River Valley,California,Sauvignon Blanc,2008,30,93,3880
Sauvignon Blanc,Twomey,Napa Valley,California,Sauvignon Blanc,2009,25,87,3326
Sauvignon Blanc,Illumination,Napa Valley,California,Sauvignon Blanc,2008,40,87,3150
Sauvignon Blanc,John Anthony,Napa Valley,California,Sauvignon Blanc,2009,19,89,3098
Sauvignon Blanc,J. Lohr,Napa Valley,California,Carols Vineyard,2009,24,86,2900
Sauvignon Blanc,Star Lane,Santa Ynez Valley,California,Sauvignon Blanc,2008,20,86,2800
